"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.831741414E0,-1.167364717E-1,3.247251511E-1,-8.071452975E-1,8.778139660E-1
1.839706502E0,-1.217003465E-1,3.181333542E-1,-8.329906464E-1,8.999406771E-1
1.847702107E0,-9.787043929E-2,3.019895554E-1,-8.320302963E-1,8.905339569E-1
1.855697713E0,-8.855301142E-2,2.978363037E-1,-8.571188450E-1,9.117021521E-1
1.863662801E0,-9.368279576E-2,3.152494431E-1,-8.603703380E-1,9.210840331E-1
1.871627889E0,-9.628960490E-2,2.680292130E-1,-8.747663498E-1,9.199606044E-1
1.879654012E0,-8.000907302E-2,2.806673050E-1,-8.744092584E-1,9.218281505E-1
1.887619100E0,-8.295375109E-2,2.717933655E-1,-8.766752481E-1,9.215814934E-1
1.895614705E0,-8.350509405E-2,2.581176758E-1,-9.043023586E-1,9.441189497E-1
1.903579793E0,-9.385609627E-2,2.588386536E-1,-8.867601156E-1,9.285202841E-1
1.911544881E0,-9.694075584E-2,2.475976944E-1,-8.831291199E-1,9.222901771E-1
1.919571004E0,-7.147768140E-2,2.291717529E-1,-8.550984859E-1,8.881566145E-1
1.927536092E0,-7.262566686E-2,2.323102951E-1,-8.535226583E-1,8.875491474E-1
1.935501180E0,-4.764422774E-2,2.042999268E-1,-8.223663568E-1,8.487018660E-1
1.943496785E0,-7.299932837E-2,1.906471252E-1,-7.954900861E-1,8.212671340E-1
1.951461873E0,-7.466360927E-2,1.841640472E-1,-7.490613461E-1,7.749735163E-1
1.959487996E0,-6.443712115E-2,1.608867645E-1,-6.992591619E-1,7.204165942E-1
1.967422566E0,-3.048983216E-2,1.735124588E-1,-6.658591032E-1,6.887703162E-1
1.975418172E0,-3.261968493E-2,1.190118790E-1,-6.570370793E-1,6.685249396E-1
1.983413777E0,-3.733649850E-2,1.171045303E-1,-6.203976274E-1,6.324560864E-1
1.991378865E0,-4.678907990E-2,1.079797745E-1,-6.093000174E-1,6.205605215E-1
1.999404988E0,-2.063214779E-2,1.035470963E-1,-5.702716708E-1,5.799633309E-1
2.007370076E0,-3.762537241E-2,8.705997467E-2,-5.512913465E-1,5.593900755E-1
2.015396199E0,-3.793781996E-2,5.131244659E-2,-5.328406692E-1,5.366483244E-1
2.023391805E0,-2.153393626E-2,5.378437042E-2,-5.440785885E-1,5.471544383E-1
2.031387410E0,-1.715585589E-2,2.021312714E-2,-5.243058801E-1,5.249757611E-1
2.039352498E0,1.426517963E-3,2.725887299E-2,-5.175279379E-1,5.182472842E-1
2.047348103E0,1.031973958E-2,2.223205566E-2,-5.139125586E-1,5.144967242E-1
2.055343709E0,2.355039120E-3,1.228713989E-2,-4.936216474E-1,4.937801644E-1
2.063339314E0,-5.602955818E-3,-7.315635681E-3,-5.101105571E-1,5.101937790E-1
2.071334920E0,1.266264915E-2,-2.460765839E-2,-5.107066631E-1,5.114559368E-1
2.079330525E0,2.255678177E-3,-1.326465607E-2,-4.997322857E-1,4.999133891E-1
2.087326131E0,3.792822361E-3,-3.790473938E-2,-5.231518149E-1,5.245369160E-1
2.095352254E0,3.025203943E-3,-3.625965118E-2,-5.475372672E-1,5.487449072E-1
2.103347859E0,9.343594313E-3,-3.946781158E-2,-5.391827822E-1,5.407060972E-1
2.111343465E0,3.777474165E-3,-3.792285919E-2,-5.749498606E-1,5.762115538E-1
2.119308553E0,1.489609480E-2,-5.552864075E-2,-5.790911317E-1,5.819380228E-1
2.127304158E0,2.832111716E-2,-6.116676331E-2,-5.538367033E-1,5.579234289E-1
2.135299764E0,1.060599089E-2,-6.201076508E-2,-5.590343475E-1,5.625630842E-1
2.143264851E0,9.621530771E-3,-6.762409210E-2,-5.829824209E-1,5.869702674E-1
2.151229939E0,1.588231325E-2,-6.363201141E-2,-5.946427584E-1,5.982485193E-1
2.159225545E0,7.852166891E-3,-7.637023926E-2,-6.370514035E-1,6.416607832E-1
2.167190633E0,1.418474317E-2,-7.709407806E-2,-6.556607485E-1,6.603300091E-1
2.175186238E0,6.228089333E-3,-6.819343567E-2,-6.672612429E-1,6.707657564E-1
2.183181844E0,2.209886909E-2,-4.965209961E-2,-6.534451842E-1,6.557013801E-1
2.191177449E0,2.119901776E-2,-6.935596466E-2,-6.166223884E-1,6.208726262E-1
2.199203572E0,3.440406919E-2,-5.070686340E-2,-5.784474611E-1,5.816840132E-1
2.207168660E0,2.128010988E-2,-6.789875031E-2,-5.443570614E-1,5.489878812E-1
2.215164266E0,4.391762614E-2,-7.068252563E-2,-5.089196563E-1,5.156781883E-1
2.223129353E0,2.589431405E-2,-8.538532257E-2,-4.509133399E-1,4.596564031E-1
2.231063924E0,5.084726214E-2,-7.850074768E-2,-4.039434195E-1,4.146300732E-1
2.239090047E0,1.836305857E-2,-8.355236053E-2,-3.579689562E-1,3.680488724E-1
2.247024617E0,3.855565190E-2,-7.419967651E-2,-3.134054542E-1,3.243687855E-1
2.255050740E0,4.904490709E-2,-6.482601166E-2,-2.410437912E-1,2.543814537E-1
2.263046346E0,5.708703399E-2,-7.218837738E-2,-1.794060171E-1,2.016348438E-1
2.271041951E0,6.986850500E-2,-5.797386169E-2,-1.026858762E-1,1.370655529E-1
2.279068074E0,5.642008781E-2,-5.808353424E-2,-3.499050438E-2,8.821144289E-2
2.287002644E0,6.473508477E-2,-8.211040497E-2,-1.687586308E-3,1.045734084E-1
2.294998250E0,4.935556650E-2,-9.414958954E-2,7.893310487E-2,1.324029917E-1
2.302993855E0,7.730695605E-2,-8.223724365E-2,1.356767863E-1,1.764866002E-1
2.310958943E0,7.921031117E-2,-7.033252716E-2,1.888850927E-1,2.165606521E-1
2.318985066E0,8.373466134E-2,-6.562614441E-2,1.837497205E-1,2.123257971E-1
2.326919637E0,7.186332345E-2,-6.571578979E-2,2.234623581E-1,2.437587491E-1
2.334945760E0,6.972864270E-2,-4.668998718E-2,2.017073631E-1,2.184671574E-1
2.342941365E0,6.998217106E-2,-4.443836212E-2,2.370241433E-1,2.511030004E-1
2.350906453E0,8.221358061E-2,-1.346683502E-2,2.430370897E-1,2.569191613E-1
2.358932576E0,5.124151707E-2,-1.123619080E-2,2.563894391E-1,2.617011455E-1
2.366897664E0,7.145136595E-2,5.970001221E-4,2.451870441E-1,2.553866495E-1
2.374893269E0,7.008650899E-2,1.245975494E-2,2.453258634E-1,2.554449911E-1
